subj	trial	stimulus	response	block
1	1	11	1	1
1	2	29	2	1
1	3	100	2	1
1	4	23	2	1
1	5	0	1	1
1	6	35	2	1
1	7	41	2	1
1	8	19	1	1
1	9	15	1	1
1	10	31	2	1
1	11	39	2	1
1	12	25	1	1
1	13	9	1	1
1	14	27	2	1
1	15	37	2	1
1	16	21	1	1
1	17	13	1	1
1	18	33	2	1
1	19	43	2	1
1	20	17	2	1
1	21	23	1	1
1	22	0	1	1
1	23	39	2	1
1	24	29	2	1
1	25	21	1	1
1	26	9	1	1
1	27	43	2	1
1	28	27	2	1
1	29	25	2	1
1	30	11	1	1
1	31	41	2	1
1	32	33	2	1
1	33	19	1	1
1	34	15	1	1
1	35	37	2	1
1	36	35	2	1
1	37	17	1	1
1	38	13	1	1
1	39	100	2	1
1	40	31	2	1
