subj	trial	stimulus	response	block
1	1	40	2	4
1	2	32	2	4
1	3	16	1	4
1	4	8	1	4
1	5	100	2	4
1	6	26	1	4
1	7	24	1	4
1	8	14	1	4
1	9	38	2	4
1	10	34	2	4
1	11	18	1	4
1	12	10	1	4
1	13	36	2	4
1	14	28	2	4
1	15	22	2	4
1	16	0	1	4
1	17	42	2	4
1	18	30	2	4
1	19	20	1	4
1	20	12	1	4
1	21	40	2	4
1	22	32	2	4
1	23	16	1	4
1	24	8	1	4
1	25	100	2	4
1	26	26	2	4
1	27	24	1	4
1	28	14	1	4
1	29	38	2	4
1	30	34	2	4
1	31	18	1	4
1	32	10	1	4
1	33	36	2	4
1	34	28	2	4
1	35	22	1	4
1	36	0	1	4
1	37	42	2	4
1	38	30	2	4
1	39	20	1	4
1	40	12	1	4
