subj	trial	stimulus	response	block
1	1	19	1	2
1	2	27	2	2
1	3	13	1	2
1	4	43	2	2
1	5	25	1	2
1	6	31	1	2
1	7	15	1	2
1	8	100	2	2
1	9	23	1	2
1	10	33	2	2
1	11	9	1	2
1	12	39	2	2
1	13	21	1	2
1	14	29	2	2
1	15	11	1	2
1	16	37	2	2
1	17	17	1	2
1	18	35	2	2
1	19	0	1	2
1	20	41	2	2
1	21	19	1	2
1	22	27	2	2
1	23	13	1	2
1	24	43	2	2
1	25	25	2	2
1	26	31	2	2
1	27	15	1	2
1	28	100	2	2
1	29	23	1	2
1	30	33	2	2
1	31	9	1	2
1	32	39	2	2
1	33	21	1	2
1	34	29	2	2
1	35	11	1	2
1	36	37	2	2
1	37	17	1	2
1	38	35	2	2
1	39	0	1	2
1	40	41	2	2
