subj	trial	stimulus	response	block
1	1	29	2	3
1	2	37	2	3
1	3	13	1	3
1	4	23	1	3
1	5	27	2	3
1	6	41	2	3
1	7	15	1	3
1	8	25	2	3
1	9	35	2	3
1	10	43	2	3
1	11	9	1	3
1	12	21	2	3
1	13	31	2	3
1	14	39	2	3
1	15	0	1	3
1	16	17	1	3
1	17	33	2	3
1	18	100	2	3
1	19	11	1	3
1	20	19	1	3
1	21	29	2	3
1	22	37	2	3
1	23	13	1	3
1	24	23	1	3
1	25	27	2	3
1	26	41	1	3
1	27	15	1	3
1	28	25	2	3
1	29	35	2	3
1	30	43	2	3
1	31	9	1	3
1	32	21	2	3
1	33	31	2	3
1	34	39	2	3
1	35	0	1	3
1	36	17	1	3
1	37	33	2	3
1	38	100	2	3
1	39	11	1	3
1	40	19	1	3
