subj	trial	stimulus	response	block
1	1	13	1	6
1	2	37	2	6
1	3	23	2	6
1	4	27	2	6
1	5	9	1	6
1	6	41	2	6
1	7	25	2	6
1	8	29	2	6
1	9	15	1	6
1	10	100	2	6
1	11	17	1	6
1	12	31	2	6
1	13	0	1	6
1	14	43	2	6
1	15	21	1	6
1	16	35	2	6
1	17	11	1	6
1	18	39	2	6
1	19	19	1	6
1	20	33	2	6
1	21	13	1	6
1	22	37	2	6
1	23	23	1	6
1	24	27	2	6
1	25	9	1	6
1	26	41	2	6
1	27	25	2	6
1	28	29	2	6
1	29	15	1	6
1	30	100	2	6
1	31	17	1	6
1	32	31	2	6
1	33	0	1	6
1	34	43	2	6
1	35	21	1	6
1	36	35	2	6
1	37	11	1	6
1	38	39	2	6
1	39	19	1	6
1	40	33	2	6
