subj	trial	stimulus	response	block
1	1	18	1	3
1	2	42	2	3
1	3	14	1	3
1	4	30	1	3
1	5	16	1	3
1	6	36	2	3
1	7	0	1	3
1	8	26	2	3
1	9	22	1	3
1	10	40	2	3
1	11	8	1	3
1	12	34	2	3
1	13	24	2	3
1	14	38	1	3
1	15	10	1	3
1	16	32	2	3
1	17	20	1	3
1	18	100	2	3
1	19	12	1	3
1	20	28	2	3
1	21	18	1	3
1	22	42	2	3
1	23	14	1	3
1	24	30	2	3
1	25	16	1	3
1	26	36	2	3
1	27	0	1	3
1	28	26	1	3
1	29	22	1	3
1	30	40	2	3
1	31	8	1	3
1	32	34	2	3
1	33	24	1	3
1	34	38	2	3
1	35	10	1	3
1	36	32	2	3
1	37	20	1	3
1	38	100	2	3
1	39	12	1	3
1	40	28	2	3
