subj	trial	stimulus	response	block
1	1	17	1	4
1	2	100	2	4
1	3	31	2	4
1	4	9	1	4
1	5	25	2	4
1	6	41	2	4
1	7	33	2	4
1	8	11	1	4
1	9	23	1	4
1	10	43	2	4
1	11	29	2	4
1	12	0	1	4
1	13	21	1	4
1	14	37	2	4
1	15	27	2	4
1	16	13	1	4
1	17	19	1	4
1	18	39	2	4
1	19	35	2	4
1	20	15	1	4
1	21	17	1	4
1	22	100	2	4
1	23	31	2	4
1	24	9	1	4
1	25	25	1	4
1	26	41	2	4
1	27	33	2	4
1	28	11	1	4
1	29	23	1	4
1	30	43	2	4
1	31	29	2	4
1	32	0	1	4
1	33	21	1	4
1	34	37	2	4
1	35	27	2	4
1	36	13	1	4
1	37	19	1	4
1	38	39	2	4
1	39	35	2	4
1	40	15	1	4
