subj	trial	stimulus	response	block
1	1	27	2	1
1	2	23	1	1
1	3	9	1	1
1	4	43	2	1
1	5	33	2	1
1	6	21	1	1
1	7	0	1	1
1	8	39	2	1
1	9	35	2	1
1	10	19	1	1
1	11	11	1	1
1	12	100	2	1
1	13	31	2	1
1	14	17	1	1
1	15	15	1	1
1	16	41	2	1
1	17	29	2	1
1	18	25	1	1
1	19	13	1	1
1	20	37	2	1
1	21	25	2	1
1	22	0	1	1
1	23	39	2	1
1	24	31	2	1
1	25	23	2	1
1	26	15	1	1
1	27	41	2	1
1	28	29	2	1
1	29	17	1	1
1	30	9	1	1
1	31	100	2	1
1	32	35	2	1
1	33	21	1	1
1	34	13	1	1
1	35	43	2	1
1	36	33	2	1
1	37	19	1	1
1	38	11	1	1
1	39	37	2	1
1	40	27	2	1
