subj	trial	stimulus	response	block
1	1	42	2	2
1	2	18	1	2
1	3	30	2	2
1	4	12	1	2
1	5	36	2	2
1	6	22	2	2
1	7	28	2	2
1	8	10	1	2
1	9	40	2	2
1	10	24	2	2
1	11	32	2	2
1	12	14	1	2
1	13	38	2	2
1	14	20	1	2
1	15	26	1	2
1	16	8	1	2
1	17	100	2	2
1	18	16	1	2
1	19	34	2	2
1	20	0	1	2
1	21	42	2	2
1	22	18	1	2
1	23	30	2	2
1	24	12	1	2
1	25	36	2	2
1	26	22	1	2
1	27	28	1	2
1	28	10	1	2
1	29	40	2	2
1	30	24	2	2
1	31	32	2	2
1	32	14	1	2
1	33	38	2	2
1	34	20	1	2
1	35	26	1	2
1	36	8	1	2
1	37	100	2	2
1	38	16	1	2
1	39	34	2	2
1	40	0	1	2
